# stm32-ai-deployer watch trace v1
# board=STM32H7 elf= model=anomaly_cnn_int8 started=2026-09-09T12:41:08
# targetHz=200 items=6
# item,0,_end,0x20002c00,u32,hex,1,0,,bssEnd
# item,1,g_ai_last_inference_us,0x20000f24,u32,dec,0.001,0,ms,inferenceUs
# item,2,g_ai_infer_count,0x20000f20,u32,dec,1,0,,inferCount
# item,3,g_ai_last_class,0x20000f1c,u8,dec,1,0,,lastClass
# item,4,g_ai_last_confidence,0x20000f1b,u8,dec,1,0,%,confidence
# item,5,uwTick,0x20002aac,u32,dec,1,0,ms,hwTick
t,0,1,2,3,4,5
29.440408,745931122,927,66674,1,99,3137424
29.445443,745931122,927,66674,1,99,3137429
29.450437,745931122,927,66675,1,99,3137434
29.455180,745931122,927,66675,1,99,3137439
29.460169,745931122,927,66675,1,99,3137444
29.465348,745931122,927,66675,1,99,3137449
29.469964,745931122,927,66675,1,99,3137454
29.474985,745931122,927,66675,1,99,3137459
29.479961,745931122,927,66675,1,99,3137464
29.484989,745931122,927,66675,1,99,3137469
29.489956,745931122,927,66675,1,99,3137474
29.495276,745931122,927,66676,1,99,3137479
29.500282,745931122,927,66676,1,99,3137484
29.505281,745931122,927,66676,1,99,3137489
29.510323,745931122,927,66676,1,99,3137494
29.515320,745931122,927,66676,1,99,3137499
29.520326,745931122,927,66676,1,99,3137504
29.525328,745931122,927,66676,1,99,3137509
29.530858,745931122,927,66676,1,99,3137514
29.536021,745931122,927,66676,1,99,3137520
29.540361,745931122,926,66677,1,99,3137524
29.545397,745931122,926,66677,1,99,3137529
29.550380,745931122,926,66677,1,99,3137534
29.555402,745931122,926,66677,1,99,3137539
29.560382,745931122,926,66677,1,99,3137544
29.565410,745931122,926,66677,1,99,3137549
29.570380,745931122,926,66677,1,99,3137554
29.574925,745931122,926,66677,1,99,3137558
29.579932,745931122,926,66677,1,99,3137563
29.585754,745931122,926,66677,1,99,3137569
29.590781,745931122,926,66678,1,99,3137574
29.595776,745931122,926,66678,1,99,3137579
29.600780,745931122,926,66678,1,99,3137584
29.605752,745931122,926,66678,1,99,3137589
29.610763,745931122,926,66678,1,99,3137594
29.615752,745931122,926,66678,1,99,3137599
29.620278,745931122,926,66678,1,99,3137604
29.625274,745931122,926,66678,1,99,3137609
29.630257,745931122,926,66678,1,99,3137613
29.635267,745931122,926,66679,1,99,3137619
29.640312,745931122,926,66679,1,99,3137624
29.645874,745931122,926,66679,1,99,3137629
29.650387,745931122,926,66679,1,99,3137634
29.655378,745931122,926,66679,1,99,3137639
29.660404,745931122,926,66679,1,99,3137644
29.665357,745931122,926,66679,1,99,3137648
29.670373,745931122,926,66679,1,99,3137653
29.675456,745931122,926,66679,1,99,3137658
29.680383,745931122,926,66679,1,99,3137663
29.685510,745931122,926,66680,1,99,3137668
29.690447,745931122,926,66680,1,99,3137673
29.695386,745931122,926,66680,1,99,3137678
29.700926,745931122,926,66680,1,99,3137684
29.705919,745931122,926,66680,1,99,3137689
29.710836,745931122,926,66680,1,99,3137694
29.715841,745931122,926,66680,1,99,3137699
29.720900,745931122,926,66680,1,99,3137704
29.725860,745931122,926,66680,1,99,3137709
29.730973,745931122,926,66681,1,99,3137714
29.735871,745931122,926,66681,1,99,3137719
29.740388,745931122,926,66681,1,99,3137723
29.745923,745931122,926,66681,1,99,3137729
29.751048,745931122,926,66681,1,99,3137734
29.755919,745931122,926,66681,1,99,3137739
29.760957,745931122,926,66681,1,99,3137744
29.765876,745931122,926,66681,1,99,3137748
29.770901,745931122,926,66681,1,99,3137753
29.775880,745931122,926,66681,1,99,3137758
29.780882,745931122,926,66682,1,99,3137763
29.785453,745931122,926,66682,1,99,3137768
29.790623,745931122,926,66682,1,99,3137773
29.795405,745931122,926,66682,1,99,3137778
29.800434,745931122,926,66682,1,99,3137783
29.804911,745931122,926,66682,1,99,3137787
29.809919,745931122,926,66682,1,99,3137792
29.814922,745931122,926,66682,1,99,3137797
29.819941,745931122,926,66682,1,99,3137802
29.824929,745931122,926,66683,1,99,3137807
29.829935,745931122,926,66683,1,99,3137812
29.835183,745931122,926,66683,1,99,3137818
29.840192,745931122,926,66683,1,99,3137823
29.845946,745931122,926,66683,1,99,3137828
29.849897,745931122,926,66683,1,99,3137832
29.855899,745931122,926,66683,1,99,3137838
29.861090,745931122,926,66683,1,99,3137843
29.865889,745931122,926,66683,1,99,3137848
29.869902,745931122,926,66683,1,99,3137852
29.875417,745931122,926,66684,1,99,3137858
29.880496,745931122,926,66684,1,99,3137863
29.885433,745931122,926,66684,1,99,3137868
29.890479,745931122,926,66684,1,99,3137873
29.895414,745931122,926,66684,1,99,3137878
29.900417,745931122,926,66684,1,99,3137882
29.905517,745931122,926,66684,1,99,3137887
29.910424,745931122,926,66684,1,99,3137892
29.915496,745931122,926,66684,1,99,3137897
29.919961,745931122,926,66685,1,99,3137902
29.925995,745931122,926,66685,1,99,3137908
29.931016,745931122,926,66685,1,99,3137913
29.935935,745931122,926,66685,1,99,3137918
29.941014,745931122,926,66685,1,99,3137923
29.945773,745931122,926,66685,1,99,3137928
29.950737,745931122,926,66685,1,99,3137932
29.955334,745931122,926,66685,1,99,3137937
29.960258,745931122,926,66685,1,99,3137942
29.965791,745931122,926,66686,1,99,3137947
29.970791,745931122,926,66686,1,99,3137952
29.975799,745931122,926,66686,1,99,3137958
29.980857,745931122,926,66686,1,99,3137963
29.985635,745931122,926,66686,1,99,3137967
29.990616,745931122,926,66686,1,99,3137972
29.995547,745931122,926,66686,1,99,3137977
30.000572,745931122,926,66686,1,99,3137982
30.005556,745931122,926,66686,1,99,3137987
30.010559,745931122,926,66686,1,99,3137992
30.015562,745931122,926,66687,1,99,3137997
30.020558,745931122,926,66687,1,99,3138002
30.025573,745931122,926,66687,1,99,3138007
30.030617,745931122,926,66687,1,99,3138012
30.035135,745931122,926,66687,1,99,3138017
30.040175,745931122,926,66687,1,99,3138022
30.045099,745931122,926,66687,1,99,3138026
30.050145,745931122,926,66687,1,99,3138031
30.055093,745931122,926,66687,1,99,3138036
30.060095,745931122,926,66688,1,99,3138041
30.065126,745931122,926,66688,1,99,3138046
30.070132,745931122,926,66688,1,99,3138051
30.075146,745931122,926,66688,1,99,3138056
30.080713,745931122,926,66688,1,99,3138062
30.085718,745931122,926,66688,1,99,3138067
30.090711,745931122,926,66688,1,99,3138072
30.095726,745931122,926,66688,1,99,3138077
30.100060,745931122,926,66688,1,99,3138081
30.105062,745931122,926,66688,1,99,3138086
30.110073,745931122,926,66689,1,99,3138091
30.115123,745931122,926,66689,1,99,3138096
30.120054,745931122,926,66689,1,99,3138101
30.125052,745931122,926,66689,1,99,3138106
30.130055,745931122,926,66689,1,99,3138111
30.135061,745931122,926,66689,1,99,3138116
30.140078,745931122,926,66689,1,99,3138121
30.145584,745931122,926,66689,1,99,3138126
30.150626,745931122,926,66689,1,99,3138131
30.155567,745931122,926,66690,1,99,3138137
30.160563,745931122,926,66690,1,99,3138142
30.165565,745931122,926,66690,1,99,3138146
30.170565,745931122,926,66690,1,99,3138152
30.175569,745931122,926,66690,1,99,3138156
30.180571,745931122,926,66690,1,99,3138162
30.185634,745931122,926,66690,1,99,3138166
30.189955,745931122,926,66690,1,99,3138171
30.194992,745931122,926,66690,1,99,3138176
30.199965,745931122,926,66690,1,99,3138181
30.204969,745931122,926,66691,1,99,3138186
30.209980,745931122,926,66691,1,99,3138191
30.215011,745931122,926,66691,1,99,3138196
30.220165,745931122,926,66691,1,99,3138201
30.225009,745931122,926,66691,1,99,3138206
30.230251,745931122,926,66691,1,99,3138211
30.235231,745931122,926,66691,1,99,3138216
30.240188,745931122,926,66691,1,99,3138221
30.245190,745931122,926,66691,1,99,3138226
